District,Area,
Seodaemun-gu,Migeun-dong,
Seodaemun-gu,Bongwon-dong,
Seodaemun-gu,Bukgajwa-dong,
Seodaemun-gu,Bugahyeon-dong,
Seodaemun-gu,Sinchon-dong,
Seodaemun-gu,Yeonhui-dong,
Seodaemun-gu,Yeongcheon-dong,
Seodaemun-gu,Okcheon-dong,
Seodaemun-gu,Changcheon-dong,
Seodaemun-gu,Cheonyeon-dong,
Seodaemun-gu,Chungjeongno-dong,
Seodaemun-gu,Chungjeongno-dong,
Seodaemun-gu,Hap-dong,
Seodaemun-gu,Hyeonjeo-dong,
Seodaemun-gu,Hongeun-dong,
Seodaemun-gu,Hongje-dong,
Seocho-gu,Naegok-dong,
Seocho-gu,Banpo-dong,
Seocho-gu,Bangbae-dong,
Seocho-gu,Seocho-dong,
Seocho-gu,Sinwon-dong,
Seocho-gu,Yangjae-dong,
Seocho-gu,Yeomgok-dong,
Seocho-gu,Umyeon-dong,
Seocho-gu,Wonji-dong,
Seocho-gu,Jamwon-dong,
Seongdong-gu,Geumho-dong,
Seongdong-gu,Geumho-dong,
Seongdong-gu,Geumho-dong,
Seongdong-gu,Geumho-dong,
Seongdong-gu,Doseon-dong,
Seongdong-gu,Majang-dong,
Seongdong-gu,Sageun-dong,
Seongdong-gu,Sangwangsimni-dong,
Seongdong-gu,Seongdong-gu,
Seongdong-gu,Seongdong-gu,
Seongdong-gu,Songjeong-dong,
Seongdong-gu,Oksu-dong,
Seongdong-gu,Yongdap-dong,
Seongdong-gu,Eungbong-dong,
Seongdong-gu,Hawangsimni-dong,
Seongdong-gu,Haengdang-dong,
Seongdong-gu,Hongik-dong,
Seongbuk-gu,Gireum-dong,
Seongbuk-gu,Donam-dong,
Seongbuk-gu,Dongseon-dong,
Seongbuk-gu,Dongseon-dong,
Seongbuk-gu,Dongseon-dong,
Seongbuk-gu,Dongseon-dong,
Seongbuk-gu,Dongseon-dong,
Seongbuk-gu,Dongsomun-dong,
Seongbuk-gu,Dongsomun-dong,
Seongbuk-gu,Dongsomun-dong,
Seongbuk-gu,Dongsomun-dong,
Seongbuk-gu,Dongsomun-dong,
Seongbuk-gu,Dongsomun-dong,
Seongbuk-gu,Dongsomun-dong,
Seongbuk-gu,Bomun-dong,
Seongbuk-gu,Bomun-dong,
Seongbuk-gu,Bomun-dong,
Seongbuk-gu,Bomun-dong,
Seongbuk-gu,Bomun-dong,
Seongbuk-gu,Bomun-dong,
Seongbuk-gu,Bomun-dong,
Seongbuk-gu,Samseon-dong,
Seongbuk-gu,Samseon-dong,
Seongbuk-gu,Samseon-dong,
Seongbuk-gu,Samseon-dong,
Seongbuk-gu,Samseon-dong,
Seongbuk-gu,Sangwolgok-dong,
Seongbuk-gu,Seokgwan-dong,
Seongbuk-gu,Seongbuk-dong,
Seongbuk-gu,Seongbuk-dong,
Seongbuk-gu,Anam-dong,
Seongbuk-gu,Anam-dong,
Seongbuk-gu,Anam-dong,
Seongbuk-gu,Anam-dong,
Seongbuk-gu,Anam-dong,
Seongbuk-gu,Jangwi-dong,
Seongbuk-gu,Jeongneung-dong,
Seongbuk-gu,Jongam-dong,
Seongbuk-gu,Hawolgok-dong,
Songpa-gu,Garak-dong,
Songpa-gu,Geoyeo-dong,
Songpa-gu,Macheon-dong,
Songpa-gu,Munjeong-dong,
Songpa-gu,Bangi-dong,
Songpa-gu,Samjeon-dong,
Songpa-gu,Seokchon-dong,
Songpa-gu,Songpa-dong,
Songpa-gu,Sincheon-dong,
Songpa-gu,Ogeum-dong,
Songpa-gu,Jamsil-dong,
Songpa-gu,Jangji-dong,
Songpa-gu,Pungnap-dong,
Yangcheon-gu,Mok-dong,
Yangcheon-gu,Sinjeong-dong,
Yangcheon-gu,Sinwol-dong,
Yeongdeungpo-gu,Dangsan-dong,
Yeongdeungpo-gu,Dangsan-dong,
Yeongdeungpo-gu,Dangsan-dong,
Yeongdeungpo-gu,Dangsan-dong,
Yeongdeungpo-gu,Dangsan-dong,
Yeongdeungpo-gu,Dangsan-dong,
Yeongdeungpo-gu,Dangsan-dong,
Yeongdeungpo-gu,Daerim-dong,
Yeongdeungpo-gu,Dorim-dong,
Yeongdeungpo-gu,Mullae-dong,
Yeongdeungpo-gu,Mullae-dong,
Yeongdeungpo-gu,Mullae-dong,
Yeongdeungpo-gu,Mullae-dong,
Yeongdeungpo-gu,Mullae-dong,
Yeongdeungpo-gu,Mullae-dong,
Yeongdeungpo-gu,Singil-dong,
Yeongdeungpo-gu,Yangpyeong-dong,
Yeongdeungpo-gu,Yangpyeong-dong,
Yeongdeungpo-gu,Yangpyeong-dong,
Yeongdeungpo-gu,Yangpyeong-dong,
Yeongdeungpo-gu,Yangpyeong-dong,
Yeongdeungpo-gu,Yangpyeong-dong,
Yeongdeungpo-gu,Yangpyeong-dong,
Yeongdeungpo-gu,Yeouido-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yeongdeungpo-gu,Yeongdeungpo-dong,
Yongsan-gu,Namyoung-dong,
Yongsan-gu,Seobinggo-dong,
Yongsan-gu,Yongmun-dong,
Yongsan-gu,Yongsan-dong,
Yongsan-gu,Yongsan-dong,
Yongsan-gu,Yongsan-dong,
Yongsan-gu,Yongsan-dong,
Yongsan-gu,Yongsan-dong,
Yongsan-gu,Yongsan-dong,
Yongsan-gu,Wonhyoro-dong,
Yongsan-gu,Wonhyoro-dong,
Yongsan-gu,Wonhyoro-dong,
Yongsan-gu,Wonhyoro-dong,
Yongsan-gu,Ichon-dong,
Yongsan-gu,Itaewon,
Yongsan-gu,Cheongpa-dong,
Yongsan-gu,Cheongpa-dong,
Yongsan-gu,Cheongpa-dong,
Yongsan-gu,Hangangno-dong,
Yongsan-gu,Hangangno-dong,
Yongsan-gu,Hangangno-dong,
Yongsan-gu,Hannam-dong,
Yongsan-gu,Hyochang-dong,
Yongsan-gu,Huam-dong,
Eunpyeong-gu,Galhyeon-dong,
Eunpyeong-gu,Gusan-dong,
Eunpyeong-gu,Nokbeon-dong,
Eunpyeong-gu,Daejo-dong,
Eunpyeong-gu,Bulgwang-dong,
Eunpyeong-gu,Susaek-dong,
Eunpyeong-gu,Sinsa-dong,
Eunpyeong-gu,Yeokchon-dong,
Eunpyeong-gu,Eungam-dong,
Eunpyeong-gu,Jeungsan-dong,
Eunpyeong-gu,Jingwan-dong,
Jongno-gu,Gahoe-dong,
Jongno-gu,Gyonam-dong,
Jongno-gu,Muak-dong,
Jongno-gu,Buam-dong,
Jongno-gu,Sajik-dong,
Jongno-gu,Samcheong-dong,
Jongno-gu,Sejongno-dong,
Jongno-gu,Ihwa-dong,
Jongno-gu,Jongno-1.2.3.4 ga-dong,
Jongno-gu,Jongno-1.2.3.5 ga-dong,
Jongno-gu,Jongno-1.2.3.6 ga-dong,
Jongno-gu,Jongno-1.2.3.7 ga-dong,
Jongno-gu,Jongno-5.6 ga-dong,
Jongno-gu,Jongno-5.7 ga-dong,
Jongno-gu,Changsin-dong,
Jongno-gu,Sungin-dong,
Jongno-gu,Pyeongchang-dong,
Jongno-gu,Hyehwa-dong,
Jongno-gu,Hyoja-dong,
Jung-gu,Namdaemunro1-ga,
Jung-gu,Namdaemunro2-ga,
Jung-gu,Namdaemunro3-ga,
Jung-gu,Namdaemunro4-ga,
Jung-gu,Namdaemunro5-ga,
Jung-gu,Namsandong1-ga,
Jung-gu,Namsandong2-ga,
Jung-gu,Namsandong3-ga,
Jung-gu,Myeongdong1-ga,
Jung-gu,Myeongdong2-ga,
Jung-gu,Euljiro 1-ga,
Jung-gu,Euljiro 2-ga,
Jung-gu,Euljiro 3-ga,
Jung-gu,Euljiro 4-ga,
Jung-gu,Euljiro 5-ga,
Jung-gu,Euljiro 6-ga,
Jung-gu,Euljiro 7-ga,
Jung-gu,Chungmu-ro 1ga,
Jung-gu,Chungmu-ro 2ga,
Jung-gu,Chungmu-ro 3ga,
Jung-gu,Chungmu-ro 4ga,
Jung-gu,Chungmu-ro 5ga,
Jung-gu,Taepyeongno 1-ga,
Jung-gu,Taepyeongno 2-ga,
Jung-gu,Hoehyeondong1-ga,
Jung-gu,Hoehyeondong2-ga,
Jung-gu,Hoehyeondong3-ga,
